variant_gid,product_gid,mpn,vendor,title,colour,size,sku,barcode,images,gender_raw,season_raw,shopify_category,hs_code,country_of_origin,material_upper,description_html,stock,price_eur_net,compare_at_price
gid://shopify/ProductVariant/49310865588567,gid://shopify/Product/9642425581911,J20J221515BEH,Calvin Klein Jeans,Knitted cycling shorts,Black,M,CKJ20J221515BEH-M,8720107640849,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Knitted_cycling_shorts_327291.jpg?v=1729219626,Women,23SS,Clothing>Bottoms>Shorts>Women,6204.62.39.90,CN,Synthetic Fabric 100%,<p><strong>Product Details</strong></p><p></p><p>Type: Shorts</p><p>Colour: Black</p><p><strong>Composition</strong><br>Outer: Synthetic Fabric 100%</p><p><strong>Product Code: </strong>J20J221515</p>,0,74.37,
gid://shopify/ProductVariant/49378667266391,gid://shopify/Product/9660070920535,A2116003,AXEL ARIGATO,Bay varsity jacket,Blue,M,AXELA2116003-M,7333370233383,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bay_varsity_jacket_329519.jpg?v=1730220595,Women,24SS,Clothing>Outerwear>Jackets>Women,6204.31.00.00,CN,"Wool 80%, Nylon 20%","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Jacket</p><p>Colour: Blue</p><p><strong>Composition</strong><br>Outer: Wool 80%, Nylon 20%</p><p><strong>Product Code: </strong>A2116003</p>",0,355.33,
gid://shopify/ProductVariant/49378667299159,gid://shopify/Product/9660070920535,A2116003,AXEL ARIGATO,Bay varsity jacket,Blue,L,AXELA2116003-L,7333370233390,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bay_varsity_jacket_329519.jpg?v=1730220595,Women,24SS,Clothing>Outerwear>Jackets>Women,6204.31.00.00,CN,"Wool 80%, Nylon 20%","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Jacket</p><p>Colour: Blue</p><p><strong>Composition</strong><br>Outer: Wool 80%, Nylon 20%</p><p><strong>Product Code: </strong>A2116003</p>",0,355.33,
gid://shopify/ProductVariant/49378667331927,gid://shopify/Product/9660070920535,A2116003,AXEL ARIGATO,Bay varsity jacket,Blue,XL,AXELA2116003-XL,7333370233406,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Bay_varsity_jacket_329519.jpg?v=1730220595,Women,24SS,Clothing>Outerwear>Jackets>Women,6204.31.00.00,CN,"Wool 80%, Nylon 20%","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Jacket</p><p>Colour: Blue</p><p><strong>Composition</strong><br>Outer: Wool 80%, Nylon 20%</p><p><strong>Product Code: </strong>A2116003</p>",0,355.33,
gid://shopify/ProductVariant/49382942343511,gid://shopify/Product/9660724805975,123CJU078PL0007-0001,Courrèges,Twill suspenders mini skirt,White,38,CU23CJU078PL00070001-38,3662895790038,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Twill_suspenders_mini_skirt_329429.jpg?v=1730251253,Women,23SS,Clothing>Skirts>Women,6104.59.00.00,BG,"Polyester (PES) 83%, Acetate 17%","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Skirt</p><p>Colour: White</p><p><strong>Composition</strong><br>Outer: Polyester (PES) 83%, Acetate 17%</p><p><strong>Product Code: </strong>123CJU078PL0007</p>",0,388.42,
gid://shopify/ProductVariant/49383006142807,gid://shopify/Product/9660735586647,3541MDK0223775815,MSGM,Scarf,Pink,OS,MS3541MDK0223775815-OS,8050887732916,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Scarf_329648.jpg?v=1730251911, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Scarf_329649.jpg?v=1730251914, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/Scarf_329650.jpg?v=1730251917",Women,23AW,Accessories>Scarves>Women,6214.90.00,IT,"Polyester (PES) 20%, Wool 24%, Acrylic 56%","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Scarf</p><p>Colour: Pink</p><p><strong>Composition</strong><br>Outer: Polyester (PES) 20%, Wool 24%, Acrylic 56%</p><p><strong>Product Code: </strong>3541MDK02237758</p>",0,123.96,
gid://shopify/ProductVariant/49393235296599,gid://shopify/Product/9664015532375,XF1AA120XB30-GHH,Balmain,CROPPED STRIPED TOP,Multicolour,36,BLXF1AA120XB30-GHH-36,3615881914376,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/CROPPED_STRIPED_TOP_330225.jpg?v=1730375562,Women,22SS,Clothing>Tops>Blouses>Women,6206.90.90.00,PL,"Cotton 38%, Polyester (PES) 62%","<p><strong>Product Details</strong></p><p></p><p>Type: Blouse</p><p>Colour: Multicolour</p><p><strong>Composition</strong><br>Outer: Cotton 38%, Polyester (PES) 62%</p><p><strong>Product Code: </strong>XF1AA120XB30</p>",0,768.59,
gid://shopify/ProductVariant/49393235329367,gid://shopify/Product/9664015532375,XF1AA120XB30-GHH,Balmain,CROPPED STRIPED TOP,Multicolour,38,BLXF1AA120XB30-GHH-38,3615881914383,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/CROPPED_STRIPED_TOP_330225.jpg?v=1730375562,Women,22SS,Clothing>Tops>Blouses>Women,6206.90.90.00,PL,"Cotton 38%, Polyester (PES) 62%","<p><strong>Product Details</strong></p><p></p><p>Type: Blouse</p><p>Colour: Multicolour</p><p><strong>Composition</strong><br>Outer: Cotton 38%, Polyester (PES) 62%</p><p><strong>Product Code: </strong>XF1AA120XB30</p>",0,768.59,
gid://shopify/ProductVariant/49393235362135,gid://shopify/Product/9664015532375,XF1AA120XB30-GHH,Balmain,CROPPED STRIPED TOP,Multicolour,40,BLXF1AA120XB30-GHH-40,3615881914390,https://cdn.shopify.com/s/files/1/0810/6836/0023/files/CROPPED_STRIPED_TOP_330225.jpg?v=1730375562,Women,22SS,Clothing>Tops>Blouses>Women,6206.90.90.00,PL,"Cotton 38%, Polyester (PES) 62%","<p><strong>Product Details</strong></p><p></p><p>Type: Blouse</p><p>Colour: Multicolour</p><p><strong>Composition</strong><br>Outer: Cotton 38%, Polyester (PES) 62%</p><p><strong>Product Code: </strong>XF1AA120XB30</p>",0,768.59,
gid://shopify/ProductVariant/49393452974423,gid://shopify/Product/9664102269271,A03612007L1-01,Diesel,1994 l.32 trousers,Blue,27/32,DIEA03612007L1-01-27/32,8052105517756,"https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330558.jpg?v=1730376887, https://cdn.shopify.com/s/files/1/0810/6836/0023/files/1994_l.32_trousers_330559.jpg?v=1730376890",Women,23SS,Clothing>Bottoms>Jeans Skinny>Women,6204.62.90.90,TN,"Cotton, Hemp","<p><strong>Product Details</strong></p><p>Style: Casual</p><p>Type: Skinny Jeans</p><p>Colour: Blue</p><p><strong>Composition</strong><br>Outer: Cotton, Hemp</p><p><strong>Product Code: </strong>A03612007L1</p>",0,165.28,
